,amazon_tweets
117,Very shame on brand doing fake reviews and fooling people as much I didn’t except this from this brands but u peopl… https://t.co/IufGGqBV8w
118,"Favorite part of mine is that I like the security of samsung.
#FastestMonster #SamsungM42 @amazonIN @SamsungIndia… https://t.co/sXkDGEVF0X"
119,I placed some grocery and received without contact less process But Worest service is damaged ...i shared this issu… https://t.co/IjsFM6qzsb
120,"My favourite future is monster- fast payment...
#FastestMonster
@amazonIN
@SamsungIndia
#SamsungM42 https://t.co/jdXLKfU0aQ"
121,"A smartphone is all about performance. With the fast Snapdragon 750G processor, it becomes a Beast. @amazonIN… https://t.co/1NBHM768R7"
122,"Loved these two features the most
#FastestMonster 
@SamsungIndia @amazonIN 
#SamsungM42 
Really a monster in all fe… https://t.co/79AiTJerTs"
123,"Monster - Fast Performance #FastestMonster 

@amazonIN @SamsungIndia #SamsungM42 

750 really Is a monster 👹 https://t.co/4RcnS9bQtH"
124,"Hey @SamsungMobile @SamsungIndia here is my favourite feature of #SamsungGalaxyM42 
#FastestMonster 
@SamsungIndia… https://t.co/nAJy51Zlth"
125,"Every couple of years I make the mistake of using @Flipkart , have a pathetic experience, decide never to use it ag… https://t.co/efMIH9XNNm"
126,Day 153 and counting. Any update yet @amazon on my complaint ticket 0524431704 with @amazonIN or is it not 16 Oct 2… https://t.co/F4dOef0YmO
127,"Will I be lucky enough to upgrade my phone from SM-A500G/DS? I hope so.
#FastestMonster
#SamsungM42 
#GalaxyM42Quiz… https://t.co/JylpdfqX5H"
128,Guys... is there a way to escalate matters to a consumer forum... @amazonIN  guys have been really harassing me ove… https://t.co/4dRWDfVNBN
129,First consignment of #MissionVayu has landed. We are grateful to @Temasek @amazonIN @airindiain @MoCA_GoI &amp; our don… https://t.co/hflGvVQ33P
130,"#FastestMonster,Tag @amazonIN and @SamsungIndia #SamsungM42 https://t.co/vaZe9aDdkd"
131,Hello @amazonIN my order was cancelled stating that my address was out of service area. When I called the DA he sai… https://t.co/1fUIpIrm2V
132,"A great read! kudos @ratnabhushanET 👏🏻👏🏻
Bold and Incredible move by @amazonIN to remove listing of setters inflati… https://t.co/3NPNCgZGhf"
133,"#FastestMonster
@amazonIN 
@SamsungIndia
#SamsungM42 
My favourite feature is the powerful 750G 💪 https://t.co/GX3BfG4Mcm"
134,#FastestMonster is coming from @SamsungIndia at @amazonIN as #SamsungM42. Lpddr4x 8GB ram with #snapdragon 750G. Li… https://t.co/9oWWJ9vZJH
135,"📲🗑️♻️

From running awareness drives for its customers employees &amp; communities to setting up e-waste collection box… https://t.co/apG0ixUhJk"
136,"Hello .@amazonIN 
Just got a call in the name of sales and promotion. Do you endorse this? https://t.co/Qvrvn44Ipi"
137,"Refund not received from #Amazon, complaint filed against @amazonIN 
#AmazonIndia
https://t.co/DNTfVXkJtC"
138,"Samsung ui awesome , I tired using chinese phone  ui . @amazonIN @SamsungIndia #SamsungM42 https://t.co/jDKMzUaZ2m"
139,"When do you unleash the MONSTER ??🤯🤯
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/w39UQb5xUI"
140,"True monster 😍😍
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/Us5a8HaAAD"
141,Quality branding is essential to building loyal relationships with potential clients and partners. Branding gives y… https://t.co/4drEGIwWKm
142,Oh my god!! Can't wait to get my hands on the latest and greatest samsung galaxy M42 5G! India's 1st and best midra… https://t.co/1p5TdhhhiK
143,Because Samsung and Speed go hand in hand. #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/6ZvWmNi4x2
144,"#FastestMonster the #SamsungM42
I love the security features in Samsung phones 🤗🥰 @amazonIN
@SamsungIndia https://t.co/e9WyuGREVx"
145,#Covid19IndiaHelp Hii I think it'll be helpfull for people that @amazon @amazonIN @pharmeasyapp @medlifecare or any… https://t.co/tYhBzEHQEA
146,"Running extra busy today!
1. Gave a guest lec in my own clg.
2. Strategising mktg campaign for office.
3. Receiving… https://t.co/B03QgsvhhP"
147,"Security and Privacy is so important. And would say samsung have best Knox Security 🔥🔥🔥.
#FastestMonster @amazonIN… https://t.co/0xIcCD74K2"
148,Pigeon by Stovekraft Handy and Compact Chopper Pro Standard with 3 Blades f... https://t.co/1x1oQSSlSR via @amazonIN
149,"I am unable to exchange my realme c12 on Amazon pls help me 
@amazonIN https://t.co/k4TM2dadbq"
150,"Loving this monster after seeing all of the specifications
#fastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/OUICGLOzi1"
151,Security is My First Priority &amp; This Phone All Rounder Like Display Best Security Best Performance+5G Best Because… https://t.co/AFMkH1gYtC
152,Up to 80% off on #N95 masks &amp; other #COVID19 essentials with these coupon codes at @amazonIN 👇… https://t.co/Mquj9NYI3p
153,Monster speed with sd750g that to with 5g 😍😍😍#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/Ael8d1HGdP
154,"My Favorite 😍 Features of Samsung Galaxy M42 5G
1. @Qualcomm Snapdragon 750G 5G
2. 5000 mAh Battery
@amazonIN… https://t.co/IOZF0UxtNI"
155,"These are my fav. specs of this Monster.
#FastestMonster 
@amazonIN @SamsungIndia #SamsungM42 https://t.co/wNtNIhGWIH"
156,"#FastestMonster #SamsungM42 @amazonIN @SamsungIndia 
Can't wait to get my hands on 5G phone with Quad 48 MP camera… https://t.co/Bdj2PvDBcF"
157,"Amazing features by new Samsung Galaxy M42 Mobile...
#FastestMonster 
@amazonIN 
@SamsungIndia 
#SamsungGalaxyM42 https://t.co/4i73x1wgjG"
158,Hey guys ..never buy a product from @amazonIN #pantry if any item will be missing no one will help u..this is a kin… https://t.co/yOgjmarqiY
159,"HEY @Uber_India, @amazonIN, @hellomilkbasket, @myntra, @dominos_india, @NetflixIndia, @hotstartweets, @oyorooms and… https://t.co/OUGUUQmUUD"
160,"#FastestMonster @amazonIN @SamsungIndia @samsungM42
Great Monster Features 
Beware the monster is coming https://t.co/BO4EN0FkVA"
161,is this really an Jio phone 3 ? @reliancejio @amazonIN https://t.co/Sxylm8jso7
162,"My favorite feature in Samsung Galaxy M42 5G is- Qualcomm Snapdragon 750G. 
@amazonIN
 @SamsungIndia 
#SamsungM42… https://t.co/KMdiMFPqmz"
163,It's gonna be amazing #FastestMonster @amazonIN  @SamsungIndia #SamsungGalaxyM42 https://t.co/ji4kfdqruu
164,"My favorite feature in Samsung Galaxy M42 5G is- Qualcomm Snapdragon 750G. 
@amazonIN @SamsungIndia 
#SamsungM42… https://t.co/QtGRg7In6C"
165,"#FastestMonster @amazonIN @SamsungIndia #SamsungGalaxyM42 
One phone parcel https://t.co/BSyP8acvnV"
166,"well, battery is a priority
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/AO61izWIJJ"
167,Excited for #FastestMonster #SamsungM42 it's very aggressive @SamsungIndia . Sale on 1 may on @amazonIN https://t.co/3uEvW3Xq6q
